sa2_code,sa2_name_x,state_x,total_persons_2011,total_renters_2011,total_dwellings_2011,own_occ_2011,rented_2011,other_tenure_2011,tenure not stated_2011,tenure n_a_2011,rent_stress_2011,young_2011,older_2011,unemployed_2011,single_parent_2011,low_ed_2011,assist_2011,indig_2011,english_2011,spanish_2011,arabic_2011,hindi_2011,punjabi_2011,vietnamese_2011,japanese_2011,korean_2011,mandarin_2011,samoan_2011,tagalog_2011,all_other_lang_2011,public_community_2011,boardinghouse_2011,residential_park_2011,rvi_2011,hcv_2011,11_m_rent_common,total_persons_2016,total_renters_2016,total_dwellings_2016,own_occ_2016,rented_2016,other_tenure_2016,tenure not stated_2016,tenure n_a_2016,rent_stress_2016,young_2016,older_2016,unemployed_2016,single_parent_2016,low_ed_2016,assist_2016,indig_2016,english_2016,spanish_2016,arabic_2016,hindi_2016,punjabi_2016,vietnamese_2016,japanese_2016,korean_2016,mandarin_2016,samoan_2016,tagalog_2016,all_other_lang_2016,public_community_2016,boardinghouse_2016,residential_park_2016,rvi_2016,hcv_2016,16_m_rent_common,total_persons_2021,total_renters_2021,total_dwellings_2021,own_occ_2021,rented_2021,other_tenure_2021,tenure not stated_2021,tenure n_a_2021,rent_stress_2021,young_2021,older_2021,unemployed_2021,single_parent_2021,low_ed_2021,assist_2021,indig_2021,english_2021,spanish_2021,arabic_2021,hindi_2021,punjabi_2021,vietnamese_2021,japanese_2021,korean_2021,mandarin_2021,samoan_2021,tagalog_2021,all_other_lang_2021,public_community_2021,boardinghouse_2021,residential_park_2021,rvi_2021,hcv_2021,21_m_rent_common
213051364,Point Cook,vic,32513.0,7738.0,11525.0,7506.0,2518.0,30.0,366.0,1040.0,351.0,683.0,120.0,320.0,337.0,300.0,121.0,74.0,5419.0,78.0,66.0,180.0,82.0,69.0,23.0,90.0,163.0,17.0,59.0,1492.0,17.0,0.0,0.0,0.059101655,PC_RECRENTERS,370.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213051365,Tarneit,vic,21965.0,5794.0,7752.0,4730.0,1846.0,43.0,464.0,603.0,377.0,843.0,104.0,288.0,485.0,444.0,137.0,60.0,4040.0,93.0,165.0,93.0,102.0,40.0,3.0,9.0,21.0,88.0,72.0,1068.0,30.0,0.0,0.0,0.146572104,PC_RECRENTERS,316.0,35298.0,10066.0,10715.0,6590.0,2812.0,35.0,684.0,499.0,479.0,945.0,224.0,558.0,607.0,609.0,295.0,98.0,4855.0,44.0,322.0,333.0,962.0,34.0,13.0,12.0,38.0,293.0,120.0,3040.0,26.0,0.0,0.0,0.207126949,PC_RESIPARKS,345.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213051366,Truganina,vic,11293.0,3373.0,3718.0,2104.0,1058.0,16.0,196.0,320.0,232.0,447.0,34.0,184.0,214.0,237.0,74.0,23.0,1932.0,34.0,188.0,66.0,188.0,39.0,6.0,12.0,23.0,47.0,33.0,805.0,22.0,0.0,0.0,0.092198582,PC_RECRENTERS,320.18,23948.0,6787.0,7157.0,4254.0,1896.0,25.0,500.0,446.0,296.0,623.0,141.0,357.0,294.0,336.0,166.0,42.0,2245.0,44.0,366.0,381.0,796.0,50.0,5.0,15.0,52.0,203.0,73.0,2557.0,33.0,0.0,0.0,0.086859688,PC_UNEMP,353.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213051367,Werribee,vic,29458.0,7521.0,11501.0,7131.0,2801.0,41.0,717.0,670.0,634.0,914.0,391.0,452.0,789.0,1115.0,423.0,151.0,5123.0,62.0,151.0,99.0,150.0,26.0,0.0,4.0,34.0,49.0,92.0,1731.0,435.0,0.0,0.0,0.735224586,PC_RECRENTERS,263.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213051368,Werribee - South,vic,10511.0,2448.0,4377.0,2725.0,1057.0,19.0,191.0,331.0,247.0,282.0,150.0,141.0,213.0,307.0,110.0,20.0,1688.0,8.0,31.0,37.0,111.0,3.0,0.0,3.0,35.0,0.0,25.0,507.0,43.0,0.0,80.0,0.617021277,PC_RESIPARKS,253.96,11617.0,3138.0,4965.0,2740.0,1270.0,11.0,358.0,537.0,281.0,317.0,191.0,198.0,252.0,408.0,147.0,46.0,1997.0,21.0,43.0,59.0,107.0,19.0,7.0,10.0,21.0,10.0,31.0,813.0,45.0,0.0,98.0,0.550111359,PC_RECRENTERS,300.45,17078.0,5303.0,6895.0,3765.0,2101.0,12.0,398.0,568.0,654.0,286.0,566.0,246.0,361.0,504.0,265.0,108.0,3136.0,50.0,84.0,80.0,182.0,35.0,12.0,24.0,100.0,58.0,82.0,1460.0,62.0,5.0,61.0,0.313840156,PC_RECRENTERS,362.0
213051369,Wyndham Vale,vic,17228.0,4152.0,6362.0,4192.0,1373.0,23.0,326.0,410.0,305.0,469.0,123.0,209.0,439.0,434.0,181.0,117.0,3506.0,23.0,29.0,9.0,24.0,12.0,5.0,0.0,10.0,22.0,23.0,489.0,69.0,0.0,0.0,0.472813239,PC_RESIPARKS,294.32,23340.0,6197.0,8041.0,5088.0,1964.0,18.0,448.0,472.0,392.0,621.0,214.0,363.0,572.0,558.0,325.0,157.0,4560.0,46.0,68.0,66.0,165.0,16.0,3.0,0.0,23.0,75.0,58.0,1117.0,66.0,0.0,0.0,0.527839644,PC_RESIPARKS,320.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213051464,Point Cook - East,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12383.0,4069.0,4419.0,2333.0,1291.0,3.0,243.0,529.0,221.0,389.0,95.0,182.0,187.0,170.0,118.0,51.0,2711.0,79.0,64.0,80.0,79.0,35.0,11.0,70.0,122.0,56.0,21.0,741.0,3.0,0.0,0.0,0.120267261,PC_RECRENTERS,401.7,19315.0,6576.0,6694.0,3679.0,2010.0,9.0,304.0,638.0,503.0,202.0,646.0,293.0,359.0,298.0,260.0,101.0,3800.0,136.0,93.0,131.0,190.0,47.0,8.0,62.0,227.0,139.0,73.0,1670.0,0.0,0.0,0.0,0.20662768,PC_RECRENTERS,412.0
213051465,Point Cook - North,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23342.0,5943.0,7667.0,4886.0,1857.0,29.0,358.0,432.0,248.0,552.0,138.0,299.0,303.0,230.0,163.0,75.0,3523.0,73.0,149.0,224.0,141.0,45.0,14.0,69.0,142.0,56.0,94.0,1413.0,27.0,0.0,0.0,0.175946548,PC_RECRENTERS,380.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213051466,Point Cook - South,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14716.0,4324.0,4823.0,2908.0,1295.0,10.0,233.0,347.0,147.0,364.0,82.0,237.0,200.0,160.0,84.0,45.0,2438.0,56.0,26.0,208.0,89.0,19.0,22.0,136.0,146.0,122.0,44.0,1018.0,6.0,0.0,0.0,0.109131403,PC_RECRENTERS,395.02,19140.0,5919.0,6093.0,3683.0,1785.0,5.0,208.0,374.0,376.0,132.0,465.0,289.0,295.0,223.0,182.0,57.0,2729.0,64.0,103.0,381.0,252.0,34.0,15.0,44.0,179.0,120.0,46.0,1952.0,9.0,0.0,0.0,0.140350877,PC_DISABILITY,412.0
213051467,Werribee - East,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19814.0,6654.0,7558.0,4114.0,2274.0,38.0,614.0,428.0,567.0,733.0,369.0,462.0,549.0,1003.0,444.0,133.0,3654.0,53.0,242.0,149.0,317.0,13.0,6.0,9.0,18.0,59.0,88.0,2046.0,326.0,0.0,0.0,0.659242762,PC_RESIPARKS,293.94,18918.0,6646.0,7727.0,4069.0,2479.0,18.0,455.0,563.0,833.0,451.0,711.0,382.0,582.0,955.0,532.0,173.0,3701.0,38.0,179.0,122.0,365.0,41.0,0.0,16.0,49.0,62.0,95.0,1978.0,366.0,0.0,0.0,0.538011696,PC_DISABILITY,312.0
